Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Coletes",5641607,"5470005","",250,"","","",False,8,0,True,0,0,479.9,479.9,264.9,264.9,,,False,False,"p_5470005_UNICA_1.jpg","d_5470005_UNICA_1.jpg,d_5470005_UNICA_2.jpg","a_5470005_UNICA_1.jpg,a_5470005_UNICA_2.jpg","","","","G","","","61700",8,5641570,,"",,,0,,"","",0,0,,True,False,30,30,30,"","5470005-UNICA-G","","","","",""
"A","Coletes",5641608,"5470005","",250,"","","",False,8,0,True,0,0,479.9,479.9,264.9,264.9,,,False,False,"p_5470005_UNICA_1.jpg","d_5470005_UNICA_1.jpg,d_5470005_UNICA_2.jpg","a_5470005_UNICA_1.jpg,a_5470005_UNICA_2.jpg","","","","M","","","61700",8,5641570,,"",,,0,,"","",0,0,,True,False,30,30,30,"","5470005-UNICA-M","","","","",""
"A","Coletes",5641609,"5470005","",250,"","","",False,8,0,True,0,0,479.9,479.9,264.9,264.9,,,False,False,"p_5470005_UNICA_1.jpg","d_5470005_UNICA_1.jpg,d_5470005_UNICA_2.jpg","a_5470005_UNICA_1.jpg,a_5470005_UNICA_2.jpg","","","","P","","","61700",8,5641570,,"",,,0,,"","",0,0,,True,False,30,30,30,"","5470005-UNICA-P","","","","",""
"A","Coletes",5641611,"5470005","",250,"","","",False,7,0,True,0,0,479.9,479.9,264.9,264.9,,,False,False,"p_5470005_UNICA_1.jpg","d_5470005_UNICA_1.jpg,d_5470005_UNICA_2.jpg","a_5470005_UNICA_1.jpg,a_5470005_UNICA_2.jpg","","","","PP","","","61700",8,5641570,,"",,,0,,"","",0,0,,True,False,30,30,30,"","5470005-UNICA-PP","","","","",""
"A","Coletes",5641570,"5470005","Jaqueta",250,"A peça apresenta recortes pespontados, bolsos frontais, bordado industrial nas costas e patch de bordado industrial na frente e na manga. 
Luleg.","A peça apresenta recortes pespontados, bolsos frontais, bordado industrial nas costas e patch de bordado industrial na frente e na manga. 

Produzida no tecido jeans Bradley.

Composição: 100% Algodão.
Luleg","",False,1,0,True,0,0,479.9,479.9,264.9,264.9,,,True,True,"p_5470005_UNICA_1.jpg","d_5470005_UNICA_1.jpg,d_5470005_UNICA_2.jpg","a_5470005_UNICA_1.jpg,a_5470005_UNICA_2.jpg","","","","Luleg Inverno 2017","","","",8,,664,"Jaqueta",,,0,,"","Jaqueta, recortes, bolsos, bordados, luleg, luleg inverno, inverno 2017.",0,0,,True,False,30,30,30,"","5470005","Jaqueta","jaqueta-luleg-5470005","","A peça apresenta recortes pespontados, bolsos frontais, bordado industrial nas costas e patch de bordado industrial na frente e na manga.",""
